RES,ORD,P,SP,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,PN,avLI,RE24,WPA,PLAYER,TEAM,YEAR,B,GPA,BB/K,ISOP,XBH
6.0,2,SS,9.0,35.0,4.0,9.0,4.0,0.0,0.0,13.0,4.0,0.0,0.0,2.0,1.0,0.0,12.0,0.0,0.0,0.0,0.229,0.33,0.333,0.663,15.0,0.97,-0.024,-0.018,오지환,LG,2021.0,5.0,0.232,0.167,0.104,4.0
6.0,6,SS,9.0,33.0,4.0,10.0,1.0,0.0,0.0,11.0,6.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.235,0.327,0.33,0.657,13.111,0.931,0.078,0.036,오지환,LG,2021.0,9.0,0.23,0.333,0.095,1.0
2.0,5,SS,9.0,31.0,4.0,8.0,0.0,0.0,3.0,17.0,9.0,2.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.237,0.328,0.339,0.667,15.778,0.921,0.689,0.075,오지환,LG,2021.0,5.0,0.232,1.5,0.102,3.0
5.0,2,SS,9.0,38.0,9.0,10.0,3.0,0.0,0.0,13.0,4.0,6.0,0.0,6.0,0.0,1.0,7.0,0.0,0.0,1.0,0.302,0.37,0.366,0.737,18.556,1.067,-0.067,-0.031,김혜성,키움,2021.0,7.0,0.258,0.857,0.064,3.0
2.0,2,SS,9.0,31.0,5.0,5.0,1.0,0.0,0.0,6.0,2.0,3.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,1.0,0.235,0.326,0.295,0.621,18.556,0.921,-0.05,0.004,김혜성,키움,2021.0,4.0,0.221,0.667,0.06,1.0
6.0,1,SS,9.0,38.0,7.0,10.0,2.0,0.0,1.0,15.0,5.0,4.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,1.0,0.225,0.303,0.3,0.604,18.0,1.088,-0.259,-0.024,김혜성,키움,2021.0,7.0,0.212,0.286,0.076,3.0
4.0,2,SS,9.0,32.0,9.0,13.0,1.0,0.0,1.0,17.0,5.0,4.0,0.0,10.0,0.0,0.0,4.0,1.0,0.0,0.0,0.254,0.344,0.343,0.687,22.778,1.058,0.557,0.037,김혜성,키움,2021.0,11.0,0.241,2.5,0.089,2.0
8.0,1,SS,8.0,37.0,8.0,12.0,1.0,1.0,1.0,18.0,5.0,5.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.262,0.353,0.361,0.714,19.778,0.619,0.247,0.011,김혜성,키움,2021.0,9.0,0.249,0.6,0.1,3.0
3.0,1,SS,9.0,40.0,5.0,14.0,0.0,0.0,0.0,14.0,4.0,2.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.286,0.365,0.387,0.752,20.222,0.928,-0.002,-0.021,김혜성,키움,2021.0,14.0,0.261,0.4,0.101,0.0
3.0,1,SS,8.0,36.0,6.0,9.0,1.0,0.0,0.0,10.0,4.0,2.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.286,0.363,0.375,0.738,17.444,0.942,-0.02,-0.024,김혜성,키움,2021.0,8.0,0.257,0.571,0.089,1.0
3.0,5,SS,9.0,38.0,6.0,11.0,1.0,0.0,0.0,12.0,6.0,2.0,1.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,0.28,0.352,0.358,0.71,17.556,1.019,0.038,-0.009,김혜성,키움,2021.0,10.0,0.248,0.25,0.078,1.0
7.0,2,SS,9.0,39.0,7.0,16.0,1.0,1.0,0.0,19.0,12.0,2.0,0.0,4.0,0.0,0.0,8.0,1.0,0.0,2.0,0.292,0.358,0.37,0.728,19.444,1.017,0.688,0.106,김혜성,키움,2021.0,14.0,0.254,0.5,0.078,2.0
4.0,2,SS,8.0,31.0,7.0,8.0,1.0,0.0,0.0,9.0,3.0,3.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.299,0.364,0.373,0.738,18.75,0.939,0.548,0.068,김혜성,키움,2021.0,7.0,0.257,1.2,0.075,1.0
4.0,4,DH,8.0,31.0,8.0,10.0,4.0,0.0,2.0,20.0,13.0,0.0,0.0,2.0,3.0,0.0,6.0,1.0,0.0,0.0,0.273,0.365,0.572,0.937,13.111,1.142,0.569,0.024,양의지,NC,2021.0,4.0,0.307,0.333,0.299,6.0
